Respondent ID,Collector ID,Start Date,End Date,freq_use,role,training_instructor_led,training_web_based,training_read,no_training,training_effectiveness,explain_training_effectiveness,support_Gnet,support_inapplication,support_ref_doc,support_SOP,support_contacted,support_IT,explain_support,complete_without_help,explain_complete_without_help,easy_access_documents,explain_easy_access_documents,satisfaction,explain_satisfaction,Gvault_efficiency,explain_Gvault_efficiency,Gvault_improved,explain_Gvault_improved,functional_area,explain_functional_area,office_location,explain_office_location,job_level,explain_job_level,time_worked_Glead
11171748099,249459562,2019-11-25 06:10:16,2019-11-25 06:14:21,Daily,Owner / Author,Instructor Led,Web/Computer Based,Read & Understood of Procedural Document(s),,Effective,ILT was the most effective with real time Q&A,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",SOPs and Work Instructions,Contacted my Document Control or Training Group,,My training notes,Most of the time,,Yes,search bar defaulting to Recent or Favorites is inconvenient and bothersome at times,Satisfied,,Increased,"System is much more efficient, but processing without a Doc Coordinator can be frustrating",Yes,,Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Manager / Group Leader,,>7 Years
11171090822,249459562,2019-11-25 01:10:09,2019-11-25 01:11:51,At least once a week,Not Sure,,Web/Computer Based,Read & Understood of Procedural Document(s),,Not effective enough,,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",,,,,Some of the time,,Yes,,Satisfied,,Increased,,Yes,,Research and Development (R&D),,Cambridge,,Director,,>7 Years
11167648501,249459562,2019-11-22 16:26:46,2019-11-22 16:28:27,Daily,Reviewer / Approver,Instructor Led,Web/Computer Based,Read & Understood of Procedural Document(s),,Effective,,,In-Application (GVault),"Reference Document (User Manual, Reference Guide, Training Material, etc)",,,,"Other users, in person trainings",Most of the time,,Yes,,Satisfied,,Increased,,Yes,,Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Individual Contributor,,Less than a year
11167439775,249459562,2019-11-22 14:24:37,2019-11-22 14:26:40,At least once a month,Reviewer / Approver,Instructor Led,,,,Effective,,,,,SOPs and Work Instructions,,,,Most of the time,,Yes,,Very Satisfied,,No noticeable difference,,Yes,,Facilities and Operations,,Foster City,,Individual Contributor,,1 to 2 years
11167066298,249459562,2019-11-22 11:43:25,2019-11-22 11:49:45,Daily,Consumer - Read Only,,,Read & Understood of Procedural Document(s),,Not effective enough,Would like a tour of the meta data on the right side of the screen and any powerful or useful options we have as consumers.,,,,,,,manager,All the time,,Yes,Great search engine,Very Satisfied,,No noticeable difference,,,,Research and Development (R&D),,Foster City,,Individual Contributor,,Less than a year
11166860490,249459562,2019-11-22 10:28:27,2019-11-22 10:34:00,Daily,Reviewer / Approver,Instructor Led,Web/Computer Based,Read & Understood of Procedural Document(s),,Effective,,GNet,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",SOPs and Work Instructions,Contacted my Document Control or Training Group,,,Most of the time,,Yes,"I can generally find what I'm looking for, but sometimes it can be challenging. There are some instances where the metadata is incorrect.",Satisfied,It's fine. I like being able to do some things myself as an author.,Increased,Being able to progress the documents on our own is helpful.,Yes,,Pharmaceutical Development and Manufacturing (PDM),,Alberta,,Manager / Group Leader,,>7 Years
11166753613,249459562,2019-11-22 09:50:44,2019-11-22 09:56:38,At least once a week,Owner / Author,,,Read & Understood of Procedural Document(s),,Effective,,,,,SOPs and Work Instructions,,,,Most of the time,,No,I have to go through the whole study list to find a document,Satisfied,,,Not applicable as I am new to the company,,Not applicable as I am new to the company,Research and Development (R&D),,Stockley Park,,Manager / Group Leader,,Less than a year
11166656228,249459562,2019-11-22 09:20:24,2019-11-22 09:23:00,Daily,Reviewer / Approver,Instructor Led,,,,Effective,,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",,Contacted my Document Control or Training Group,,,Most of the time,difficulties performing some searches,No,,Slightly Unsatisfied,,Decreased,,Yes,,Pharmaceutical Development and Manufacturing (PDM),,Alberta,,Manager / Group Leader,,>7 Years
11166642816,249459562,2019-11-22 09:14:11,2019-11-22 09:18:24,Daily,Reviewer / Approver,Instructor Led,Web/Computer Based,Read & Understood of Procedural Document(s),,Very effective,,,,"Reference Document (User Manual, Reference Guide, Training Material, etc)",SOPs and Work Instructions,Contacted my Document Control or Training Group,,,Most of the time,,Yes,"Using Search filters helps a lot. Thanks for the ""Legacy Document Number"" life-saver. Full-text search without filters is hit or miss (mostly miss). But that's just the limitation of technology.",Satisfied,,Increased,,Yes,,Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Manager / Group Leader,,3-4 years
11166474567,249459562,2019-11-22 08:17:46,2019-11-22 08:23:59,At least once a week,Owner / Author,Instructor Led,,,,Effective,,,,,,,,"After training, I attended office hours conducted by our Steward, Albert Michta, which were very helpful. And I also reach out to him any time I have a question.",Most of the time,,Yes,,Satisfied,,Increased,,Yes,,Pharmaceutical Development and Manufacturing (PDM),,Foster City,,Manager / Group Leader,,3-4 years
