Respondent ID,Collector ID,Start Date,End Date,freq_use,role,training_instructor_led,training_web_based,training_read,no_training,training_effectiveness,explain_training_effectiveness,support_Gnet,support_inapplication,support_ref_doc,support_SOP,support_contacted,support_IT,explain_support,complete_without_help,explain_complete_without_help,easy_access_documents,explain_easy_access_documents,satisfaction,explain_satisfaction,Gvault_efficiency,explain_Gvault_efficiency,Gvault_improved,explain_Gvault_improved,functional_area,explain_functional_area,office_location,explain_office_location,job_level,explain_job_level,time_worked_Glead
11171748099,249459562,2019-11-25 06:10:16,2019-11-25 06:14:21,1,Owner / Author,1,1,1,0,2,ILT was the most effective with real time Q&A,0,0,1,1,1,0,My training notes,2,,1,search bar defaulting to Recent or Favorites is inconvenient and bothersome at times,2,,1,"System is much more efficient, but processing without a Doc Coordinator can be frustrating",1,,Pharmaceutical Development and Manufacturing (PDM),0,Foster City,,Manager / Group Leader,,>7 Years
11171090822,249459562,2019-11-25 01:10:09,2019-11-25 01:11:51,2,Not Sure,0,1,1,0,1,,0,0,1,0,0,0,,1,,1,,2,,1,,1,,Research and Development (R&D),0,Cambridge,,Director,,>7 Years
11167648501,249459562,2019-11-22 16:26:46,2019-11-22 16:28:27,1,Reviewer / Approver,1,1,1,0,2,,0,1,1,0,0,0,"Other users, in person trainings",2,,1,,2,,1,,1,,Pharmaceutical Development and Manufacturing (PDM),0,Foster City,,Individual Contributor,,Less than a year
11167439775,249459562,2019-11-22 14:24:37,2019-11-22 14:26:40,3,Reviewer / Approver,1,0,0,0,2,,0,0,0,1,0,0,,2,,1,,3,,99,,1,,Facilities and Operations,0,Foster City,,Individual Contributor,,1 to 2 years
11167066298,249459562,2019-11-22 11:43:25,2019-11-22 11:49:45,1,Consumer - Read Only,0,0,1,0,1,Would like a tour of the meta data on the right side of the screen and any powerful or useful options we have as consumers.,0,0,0,0,0,0,manager,3,,1,Great search engine,3,,99,,0,,Research and Development (R&D),0,Foster City,,Individual Contributor,,Less than a year
11166860490,249459562,2019-11-22 10:28:27,2019-11-22 10:34:00,1,Reviewer / Approver,1,1,1,0,2,,1,0,1,1,1,0,,2,,1,"I can generally find what I'm looking for, but sometimes it can be challenging. There are some instances where the metadata is incorrect.",2,It's fine. I like being able to do some things myself as an author.,1,Being able to progress the documents on our own is helpful.,1,,Pharmaceutical Development and Manufacturing (PDM),0,Alberta,,Manager / Group Leader,,>7 Years
11166753613,249459562,2019-11-22 09:50:44,2019-11-22 09:56:38,2,Owner / Author,0,0,1,0,2,,0,0,0,1,0,0,,2,,0,I have to go through the whole study list to find a document,2,,,Not applicable as I am new to the company,0,Not applicable as I am new to the company,Research and Development (R&D),0,Stockley Park,,Manager / Group Leader,,Less than a year
11166656228,249459562,2019-11-22 09:20:24,2019-11-22 09:23:00,1,Reviewer / Approver,1,0,0,0,2,,0,0,1,0,1,0,,2,difficulties performing some searches,0,,1,,0,,1,,Pharmaceutical Development and Manufacturing (PDM),0,Alberta,,Manager / Group Leader,,>7 Years
11166642816,249459562,2019-11-22 09:14:11,2019-11-22 09:18:24,1,Reviewer / Approver,1,1,1,0,3,,0,0,1,1,1,0,,2,,1,"Using Search filters helps a lot. Thanks for the ""Legacy Document Number"" life-saver. Full-text search without filters is hit or miss (mostly miss). But that's just the limitation of technology.",2,,1,,1,,Pharmaceutical Development and Manufacturing (PDM),0,Foster City,,Manager / Group Leader,,3-4 years
11166474567,249459562,2019-11-22 08:17:46,2019-11-22 08:23:59,2,Owner / Author,1,0,0,0,2,,0,0,0,0,0,0,"After training, I attended office hours conducted by our Steward, Albert Michta, which were very helpful. And I also reach out to him any time I have a question.",2,,1,,2,,1,,1,,Pharmaceutical Development and Manufacturing (PDM),0,Foster City,,Manager / Group Leader,,3-4 years
