Petition,URL,State,Signatures Count
Make British Sign Language part of the National Curriculum,https://petition.parliament.uk/petitions/200000,closed,35203
Lobster Pots and Small Craft Safety – time to change the rules!,https://petition.parliament.uk/petitions/200001,closed,10770
Hold a referendum on the final Brexit deal,https://petition.parliament.uk/petitions/200004,closed,145119
Give all British citizens living abroad the right to vote and dedicated MPs,https://petition.parliament.uk/petitions/200005,closed,10314
Fund research into pediatric brain cancer & earlier access to experimental drugs,https://petition.parliament.uk/petitions/200017,closed,21799
Legalise cannabis for medical and recreational use.,https://petition.parliament.uk/petitions/200021,closed,25399
Pay Up Now! – Scrap the pay cap and give public servants a meaningful pay rise,https://petition.parliament.uk/petitions/200032,closed,149138
Make homework voluntary for children,https://petition.parliament.uk/petitions/200074,closed,34083
Make fair transitional state pension arrangements for 1950’s women,https://petition.parliament.uk/petitions/200088,closed,117716
Impose 5% levy on the Premier League’s broadcasting rights back into  grassroots,https://petition.parliament.uk/petitions/200094,closed,42844
Layla's Law Vaccinate all UK children against Meningitis B strain (MenB).,https://petition.parliament.uk/petitions/200117,closed,12080
End the animal cruelty laws exemptions for halal and shechita slaughter houses,https://petition.parliament.uk/petitions/200131,closed,26711
Reduce the age of Mandatory Mammograms to age 25-30,https://petition.parliament.uk/petitions/200153,closed,29167
Stop NHS England from removing herbal and homeopathic medicines,https://petition.parliament.uk/petitions/200154,closed,34670
Leave the EU immediately,https://petition.parliament.uk/petitions/200165,closed,141835
Reduce and end unnecessary single-use plastics,https://petition.parliament.uk/petitions/200189,closed,11595
End the export of live farm animals after Brexit.,https://petition.parliament.uk/petitions/200205,closed,100752
Abolish Universal Credits before it puts majority of the UK in poverty,https://petition.parliament.uk/petitions/200213,closed,17992
Impose Financial sanctions on the State of Myanmar (Burma).,https://petition.parliament.uk/petitions/200224,closed,30349
Abolish the TV Licence,https://petition.parliament.uk/petitions/200239,closed,15677
Ban balloon and sky lantern releases.,https://petition.parliament.uk/petitions/200251,closed,50414
Abolish the 0.7% GDP target for Foreign Aid,https://petition.parliament.uk/petitions/200292,closed,55152
Change the GCSE English Literature exam from closed book to open book.,https://petition.parliament.uk/petitions/200299,closed,165932
Make Hydraulic Fracturing (Fracking) illegal in the UK,https://petition.parliament.uk/petitions/200307,closed,24940
No referendum on the final deal for the UK to remain in the European Union.,https://petition.parliament.uk/petitions/200311,closed,14438
Make it illegal for any UK politician to lie or mislead the public.,https://petition.parliament.uk/petitions/200372,closed,14771
Investigate covert foreign interference in the EU referendum,https://petition.parliament.uk/petitions/200394,closed,19653
Don't leave the EU,https://petition.parliament.uk/petitions/200427,closed,10990
Keep Childcare Vouchers open beyond April 2018,https://petition.parliament.uk/petitions/200585,closed,119587
The Government must publish its own Brexit Impact/Risk Assessments,https://petition.parliament.uk/petitions/200634,closed,23218
Cancel HS2 immediately and repeal the 2013 and 2017 High Speed Rail Acts.,https://petition.parliament.uk/petitions/200793,closed,29843
Ban the sale of animal fur in the UK.,https://petition.parliament.uk/petitions/200888,closed,109553
House of Commons vote on whether Brexit should be cancelled.,https://petition.parliament.uk/petitions/200952,closed,14531
Union Jack to appear on British number plates after March 2019.,https://petition.parliament.uk/petitions/200968,closed,11795
Make Bullying a Criminal Offence,https://petition.parliament.uk/petitions/201003,closed,13016
Make it law that all cats injured/ killed by a vehicle are checked for a chip.,https://petition.parliament.uk/petitions/201097,closed,22809
"We must leave the EU completely in March 2019 - No transition period, No delay",https://petition.parliament.uk/petitions/201145,closed,36305
Save Local Remembrance Sunday Parades,https://petition.parliament.uk/petitions/201183,closed,14329
Bus passes for Over Sixties in England,https://petition.parliament.uk/petitions/201217,closed,10754
Adapt gambling laws to include gambling in video games which targets children.,https://petition.parliament.uk/petitions/201300,closed,16969
Allow Martial Arts to be on the GCSE/A Level syllabus.,https://petition.parliament.uk/petitions/201415,closed,11008
Ban Driven Grouse Shooting,https://petition.parliament.uk/petitions/201443,closed,48177
Pay health care students for placement hours.,https://petition.parliament.uk/petitions/201548,closed,33318
Introduce a 5p charge on single-use plastic straws.,https://petition.parliament.uk/petitions/201563,closed,13709
No more taxpayers money to be paid to the EU as part of any Brexit deal,https://petition.parliament.uk/petitions/201568,closed,17533
Nurses to work without having to pay an annual registration £120 fee to the NMC,https://petition.parliament.uk/petitions/201648,closed,11941
Pay carers an allowance equivalent to a fulltime job at the National Living Wage,https://petition.parliament.uk/petitions/201785,closed,12828
Change the laws governing the use of fireworks to include a ban on public use,https://petition.parliament.uk/petitions/201947,closed,113284
Introduce an Act of Parliament supporting ADHD adults and children (ADHD Act),https://petition.parliament.uk/petitions/202061,closed,11806
Change the law to ban the resale of tickets for more than their face value,https://petition.parliament.uk/petitions/202243,closed,23296
Place stoma signs on disabled toilets and add stoma changing facilities within.,https://petition.parliament.uk/petitions/202280,closed,10507
To create a law for road side safety when recovering vehicles.,https://petition.parliament.uk/petitions/202302,closed,11839
Update the UK Traffic Signs Regulations to a geometrically correct football,https://petition.parliament.uk/petitions/202305,closed,22536
Stop the cuts to the Royal Marines and the Royal Navy's amphibious assault ships,https://petition.parliament.uk/petitions/202588,closed,29634
"If no agreement to leave the European Union is reached, Article 50 be withdrawn",https://petition.parliament.uk/petitions/202629,closed,34835
"Build a new A&E Hospital CENTRAL to St Albans, Watford and Dacorum.",https://petition.parliament.uk/petitions/202644,closed,10566
Raise awareness and understanding of PDA among health care professionals,https://petition.parliament.uk/petitions/202680,closed,11188
Begin a process of removal of illegal immigrants in the UK.,https://petition.parliament.uk/petitions/202767,closed,18794
Make offering gay conversion therapy a criminal offence,https://petition.parliament.uk/petitions/203202,closed,13239
Make it illegal for any MP to lie in parliament or knowingly deceive the public.,https://petition.parliament.uk/petitions/203502,closed,19834
"Create a Freedom of Speech Act and Bring an End to ""Hate Speech"" laws",https://petition.parliament.uk/petitions/203615,closed,34969
Teach black history In History lessons,https://petition.parliament.uk/petitions/203692,closed,25638
Repeal the 1939 Cancer Act so that doctors can offer alternatives to chemo,https://petition.parliament.uk/petitions/203708,closed,10267
Ban Isis fighters from returning to the UK,https://petition.parliament.uk/petitions/204079,closed,14840
Stop the Common Fisheries Policy being adopted into UK law post-Brexit.,https://petition.parliament.uk/petitions/204098,closed,67959
Do not extend IR35 legislation to the private sector.,https://petition.parliament.uk/petitions/204121,closed,15230
Help fund the cost of redistributing more edible surplus food to charity.,https://petition.parliament.uk/petitions/204156,closed,16300
Provide free flash glucose monitoring systems to type 1 diabetics on the NHS.,https://petition.parliament.uk/petitions/204550,closed,10788
The Government must publish their consultation on social care by early 2018.,https://petition.parliament.uk/petitions/204631,closed,19542
Parliament must debate whether the PM should disclose any offshore interests.,https://petition.parliament.uk/petitions/204653,closed,11574
President Trump should be given a Full State Visit,https://petition.parliament.uk/petitions/204996,closed,12084
Stop the privatisation of NHS services,https://petition.parliament.uk/petitions/205106,closed,238769
