ons_code,signature_count
S14000022,19
S14000023,14
S14000024,17
S14000025,27
S14000026,33
S14000007,47
S14000028,22
S14000029,23
S14000030,16
S14000031,17
S14000032,17
S14000033,16
S14000034,15
S14000035,11
S14000036,27
S14000037,35
S14000001,23
S14000038,28
S14000039,36
S14000040,29
S14000041,32
S14000042,31
S14000043,30
S14000044,43
S14000045,22
S14000002,25
S14000046,50
S14000047,23
S14000027,9
S14000048,41
S14000049,29
S14000008,40
S14000050,41
S14000051,21
S14000052,16
S14000053,14
S14000054,25
S14000055,29
S14000056,31
S14000057,21
S14000058,30
S14000059,19
W07000049,25
W07000058,42
E14000530,72
E14000531,41
E14000532,42
W07000043,33
E14000533,65
W07000057,36
E14000534,86
E14000535,86
E14000536,98
E14000537,54
E14000538,64
E14000539,73
E14000540,35
E14000541,47
E14000542,69
E14000543,59
E14000544,72
E14000545,87
E14000546,80
E14000547,40
E14000548,61
E14000549,28
E14000550,54
E14000551,42
E14000552,48
N06000001,26
N06000002,24
N06000003,16
N06000004,10
E14000553,41
E14000554,75
E14000555,23
E14000556,109
E14000557,92
E14000558,57
E14000559,40
E14000560,34
E14000561,44
E14000562,15
E14000563,42
E14000564,15
E14000565,47
E14000566,29
E14000567,40
E14000568,35
E14000569,64
E14000570,40
E14000571,34
E14000572,65
E14000573,62
W07000072,33
E14000574,87
E14000575,64
E14000576,114
E14000577,63
E14000578,57
E14000579,46
E14000580,77
E14000581,48
E14000582,114
E14000583,70
E14000584,91
E14000585,75
E14000586,84
E14000587,34
E14000588,59
E14000589,20
E14000590,75
W07000068,66
E14000591,14
E14000592,24
E14000593,45
E14000594,66
W07000073,38
E14000595,90
E14000596,85
E14000597,50
E14000598,43
E14000599,45
E14000600,47
E14000601,42
E14000602,32
E14000603,67
E14000604,66
E14000605,52
E14000606,50
E14000607,57
E14000608,69
E14000609,50
E14000610,42
E14000611,73
E14000612,62
E14000613,61
W07000076,51
E14000614,65
E14000615,19
E14000616,65
E14000617,43
E14000618,54
E14000619,71
W07000050,31
W07000051,36
W07000080,51
W07000079,34
E14000620,71
W07000067,46
W07000066,49
E14000621,46
E14000622,76
E14000623,72
E14000624,72
W07000064,44
E14000625,57
E14000626,69
E14000627,62
E14000628,68
E14000629,41
E14000630,55
E14000631,46
E14000632,63
E14000633,90
E14000634,41
E14000635,86
E14000636,31
E14000637,69
E14000638,101
E14000639,50
E14000640,60
E14000641,62
E14000642,121
E14000643,85
W07000062,41
W07000059,52
E14000644,50
E14000645,57
E14000646,75
E14000647,75
E14000648,72
E14000649,40
E14000650,46
E14000651,40
E14000652,61
E14000653,88
E14000654,47
E14000655,19
E14000656,63
W07000070,39
E14000657,53
E14000658,47
E14000659,70
E14000660,84
W07000042,62
E14000661,58
E14000662,37
E14000663,50
E14000664,54
E14000665,65
E14000666,71
E14000667,71
E14000668,54
E14000669,68
E14000670,113
E14000671,44
E14000672,53
E14000673,21
W07000061,39
E14000674,37
E14000675,33
E14000676,15
E14000677,83
N06000005,32
E14000678,79
E14000679,18
E14000680,68
N06000006,30
E14000681,77
E14000682,63
E14000683,98
E14000684,145
E14000685,58
E14000686,68
E14000687,15
E14000688,58
E14000689,76
E14000690,54
E14000691,35
E14000692,30
E14000693,55
E14000694,57
E14000695,77
E14000696,56
E14000697,81
E14000698,39
E14000699,93
E14000700,59
E14000701,22
N06000007,13
E14000702,37
E14000703,33
E14000704,114
E14000705,64
N06000008,11
E14000706,67
E14000707,87
E14000708,50
E14000709,51
E14000710,71
E14000711,73
E14000712,70
E14000713,94
W07000046,36
E14000714,94
E14000715,72
E14000716,64
E14000717,77
E14000718,33
E14000719,44
E14000720,13
E14000721,19
E14000722,47
E14000723,60
E14000724,54
E14000725,56
E14000726,41
E14000727,22
E14000728,45
E14000729,46
E14000730,61
E14000731,31
E14000732,31
E14000733,79
E14000734,72
E14000735,97
E14000736,80
E14000737,35
E14000738,59
E14000739,45
E14000740,48
E14000741,32
E14000742,60
E14000743,69
E14000744,48
E14000745,36
E14000746,69
E14000747,74
E14000748,58
E14000749,57
E14000750,42
E14000751,59
E14000752,17
E14000753,76
E14000754,61
E14000755,49
E14000756,44
E14000757,59
E14000758,53
E14000759,37
E14000760,23
E14000761,48
E14000762,127
E14000763,13
E14000764,34
W07000077,34
E14000765,64
E14000766,55
E14000767,50
E14000768,38
E14000769,68
E14000770,45
E14000771,61
E14000772,49
E14000773,60
E14000774,46
E14000775,41
N06000009,38
E14000776,60
E14000777,38
E14000778,48
E14000779,22
E14000780,38
E14000781,47
E14000782,21
E14000783,23
E14000784,38
E14000785,64
E14000786,73
E14000787,21
E14000788,48
