ons_code,signature_count
S14000022,369
S14000023,487
S14000024,372
S14000025,275
S14000026,210
S14000007,46
S14000028,95
S14000029,165
S14000030,38
S14000031,254
S14000032,65
S14000033,157
S14000034,152
S14000035,55
S14000036,47
S14000037,100
S14000001,102
S14000038,55
S14000039,168
S14000040,60
S14000041,77
S14000042,77
S14000043,81
S14000044,98
S14000045,104
S14000002,132
S14000046,94
S14000047,45
S14000027,25
S14000048,73
S14000049,209
S14000008,107
S14000050,127
S14000051,96
S14000052,74
S14000053,78
S14000054,148
S14000055,149
S14000056,77
S14000057,192
S14000058,134
S14000059,74
W07000049,31
W07000058,103
E14000530,150
E14000531,44
E14000532,195
W07000043,75
E14000533,68
W07000057,162
E14000534,211
E14000535,60
E14000536,179
E14000537,74
E14000538,228
E14000539,270
E14000540,54
E14000541,49
E14000542,44
E14000543,82
E14000544,63
E14000545,166
E14000546,81
E14000547,496
E14000548,53
E14000549,440
E14000550,203
E14000551,212
E14000552,165
N06000001,66
N06000002,61
N06000003,155
N06000004,35
E14000553,503
E14000554,165
E14000555,447
E14000556,131
E14000557,179
E14000558,82
E14000559,107
E14000560,159
E14000561,58
E14000562,195
E14000563,20
E14000564,96
E14000565,103
E14000566,30
E14000567,203
E14000568,53
E14000569,76
E14000570,42
E14000571,81
E14000572,59
E14000573,49
W07000072,35
E14000574,125
E14000575,66
E14000576,136
E14000577,68
E14000578,58
E14000579,46
E14000580,86
E14000581,103
E14000582,53
E14000583,120
E14000584,209
E14000585,144
E14000586,194
E14000587,46
E14000588,46
E14000589,59
E14000590,132
W07000068,206
E14000591,207
E14000592,79
E14000593,364
E14000594,122
W07000073,103
E14000595,145
E14000596,68
E14000597,423
E14000598,746
E14000599,259
E14000600,328
E14000601,330
E14000602,845
E14000603,149
E14000604,217
E14000605,125
E14000606,77
E14000607,208
E14000608,310
E14000609,36
E14000610,59
E14000611,101
E14000612,128
E14000613,201
W07000076,83
E14000614,220
E14000615,446
E14000616,158
E14000617,859
E14000618,52
E14000619,423
W07000050,248
W07000051,254
W07000080,234
W07000079,262
E14000620,83
W07000067,144
W07000066,105
E14000621,170
E14000622,55
E14000623,288
E14000624,251
W07000064,208
E14000625,104
E14000626,96
E14000627,199
E14000628,177
E14000629,342
E14000630,313
E14000631,269
E14000632,90
E14000633,254
E14000634,167
E14000635,268
E14000636,277
E14000637,95
E14000638,112
E14000639,459
E14000640,222
E14000641,221
E14000642,53
E14000643,67
W07000062,76
W07000059,113
E14000644,193
E14000645,187
E14000646,151
E14000647,91
E14000648,117
E14000649,65
E14000650,93
E14000651,141
E14000652,134
E14000653,117
E14000654,152
E14000655,235
E14000656,195
W07000070,52
E14000657,41
E14000658,93
E14000659,104
E14000660,143
W07000042,78
E14000661,80
E14000662,159
E14000663,73
E14000664,222
E14000665,200
E14000666,111
E14000667,55
E14000668,59
E14000669,41
E14000670,151
E14000671,35
E14000672,46
E14000673,555
W07000061,123
E14000674,407
E14000675,164
E14000676,171
E14000677,34
N06000005,48
E14000678,238
E14000679,122
E14000680,246
N06000006,41
E14000681,201
E14000682,217
E14000683,126
E14000684,237
E14000685,170
