S_ID,typeNP,region,c1,c2,c4,c5,c5.1,c6,c6.1,c7,c7.1_1,c7.1_2,c7.1_3,c7.1_4,c7.1_5,child,c13,c10,c10t,c8.1,c8.2,c8.3,c9.1,c9.2,c9.3,c10.1_1,c10.1_2,c10.1_3,c10.1_4,c10.1t,c10.2_1,c10.2_2,c10.2_3,c10.2_4,c10.2_5,c10.2_6,c10.2_7,c10.2_8,c10.2_9,c10.2_10,c10.2t,c11,c12,d1,d2,d3,d3t,d4,d5_1,d5_2,d5_3,d5_4,d5_5,d5_6,d5_7,d5_8,d5_9,MESSAGE,Link,q13,q8.1,q8.2,q8.3,q9.1,q9.2,q9.3,q11,q12
118491,1.00,3.00,17,40,2,43,3.00,1,1,3,0,1,0,1,1,4.00,2,2,,2,3,2,2,3,2,0,1,0,0,,,,,,,,,,,,,1,,3,2,1,,4,1,1,1,1,1,1,1,0,0,6,1,2,2,2,3,2,3,3,2,
118505,2.00,4.00,16,38,2,36,2.00,1,1,2,1,0,0,1,0,1.00,1,4,,1,2,2,1,1,1,,,,,,,,,,,,,,,,,1,,6,2,13,,3,1,0,1,1,1,1,0,0,0,6,1,1,2,2,2,1,1,1,1,
118542,1.00,1.00,7,66,2,29,2.00,1,1,2,1,1,0,0,0,1.00,1,4,,1,3,1,1,1,1,,,,,,,,,,,,,,,,,1,,3,2,13,,2,0,1,0,0,1,0,1,0,0,6,1,1,1,2,1,1,1,1,1,
118807,1.00,2.00,5,3,2,35,2.00,1,1,2,1,1,0,0,0,2.00,2,1,,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,1,6,2,13,,4,1,0,0,1,1,1,1,0,0,6,1,1,1,2,2,1,2,2,,1
118954,1.00,2.00,5,3,2,29,2.00,1,1,3,0,1,1,1,0,4.00,2,1,,2,3,3,2,3,3,,,,,,,,,,,,,,,,,,2,5,2,10,,3,1,0,0,0,1,1,0,0,0,6,3,2,2,2,2,2,3,2,,2
118969,1.00,2.00,18,43,2,28,2.00,1,1,1,1,0,0,0,0,1.00,1,5,,1,2,1,1,2,1,,,,,,,,,,,,,,,,,1,,5,2,13,,2,1,0,0,0,1,1,1,0,0,6,1,1,1,2,2,1,2,2,1,
119089,1.00,2.00,5,3,2,27,2.00,1,1,3,1,0,1,0,0,1.00,2,5,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,2,,4,2,13,,3,1,1,1,1,1,1,0,0,0,6,1,2,2,2,2,2,2,2,2,
119136,3.00,3.00,2,27,2,36,2.00,1,1,2,0,0,1,1,0,3.00,1,1,,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,1,6,2,4,,3,0,0,0,0,0,0,0,0,1,6,3,1,1,2,2,1,2,2,,1
119145,1.00,3.00,8,12,2,34,2.00,1,1,2,1,1,0,0,0,1.00,1,4,,1,1,2,1,2,2,,,,,,,,,,,,,,,,,1,,6,4,13,,2,1,1,1,1,1,1,0,0,0,6,1,2,2,2,3,2,3,3,2,
119194,3.00,3.00,2,27,2,34,2.00,1,1,1,1,0,0,0,0,1.00,1,1,,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,1,6,2,4,,3,1,0,0,1,1,1,0,0,0,6,1,1,1,2,2,1,2,2,,1
119215,3.00,3.00,2,27,2,47,3.00,1,1,2,0,0,0,0,1,5.00,2,1,,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,1,6,2,4,,3,1,0,0,1,1,1,1,0,0,6,1,2,1,2,2,1,1,1,,2
119297,1.00,3.00,19,45,2,46,3.00,1,1,1,0,1,0,0,0,2.00,1,4,,2,2,2,1,1,1,,,,,,,,,,,,,,,,,1,,6,2,3,,4,1,0,1,1,1,1,1,0,0,6,1,1,1,1,1,1,1,1,1,
119341,2.00,4.00,16,38,2,36,2.00,1,1,2,0,1,0,1,0,4.00,2,1,,2,3,3,2,3,3,,,,,,,,,,,,,,,,,,1,6,2,4,,3,1,0,0,1,1,1,0,0,0,6,3,1,2,3,1,2,2,2,,2
119476,1.00,3.00,17,42,2,30,2.00,1,1,2,1,0,1,0,0,3.00,1,1,,1,3,1,1,3,2,,,,,,,,,,,,,,,,,,1,3,2,13,,3,1,1,1,1,1,1,1,0,0,6,1,1,1,1,1,1,1,1,,1
119508,2.00,1.00,6,7,2,41,3.00,1,1,1,0,0,1,0,0,3.00,3,1,,1,2,2,1,2,1,,,,,,,,,,,,,,,,,,2,3,2,6,,3,1,0,0,0,1,0,0,0,0,6,3,2,2,2,2,2,2,2,,2
119590,3.00,3.00,2,27,2,36,2.00,1,1,1,0,0,0,1,0,4.00,1,1,,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,1,4,2,3,,3,0,0,1,1,1,0,0,0,0,6,1,1,1,2,1,1,2,1,,1
119639,3.00,3.00,2,27,2,35,2.00,1,1,2,0,1,1,0,0,2.00,3,1,,2,4,3,1,4,3,,,,,,,,,,,,,,,,,,3,6,2,4,,4,1,0,0,1,1,1,0,0,0,6,1,2,2,3,2,2,2,2,,2
119641,3.00,3.00,2,27,2,35,2.00,1,1,1,0,1,0,0,0,2.00,3,1,,3,6,6,2,6,6,,,,,,,,,,,,,,,,,,3,6,2,8,,3,0,0,0,0,1,0,0,0,0,6,1,2,2,3,2,2,3,3,,2
119690,2.00,1.00,10,19,2,39,2.00,1,1,1,0,0,0,1,0,4.00,4,3,,5,5,5,5,5,5,0,0,1,0,,1,1,1,0,0,0,0,0,0,0,,5,,6,3,4,,4,0,0,0,0,1,0,0,0,0,6,3,3,3,3,3,3,3,3,3,
119856,1.00,1.00,13,68,2,23,1.00,1,1,2,1,0,0,0,0,1.00,2,2,,2,3,2,2,2,2,1,0,0,0,,,,,,,,,,,,,2,,4,2,13,,4,1,1,0,0,1,0,0,0,0,6,3,2,1,2,2,1,2,2,1,
119879,1.00,3.00,4,1,2,39,2.00,1,1,1,0,0,0,1,0,4.00,1,1,,1,2,2,1,2,1,,,,,,,,,,,,,,,,,,1,5,3,3,,2,1,0,0,0,1,0,0,0,0,6,3,1,1,2,1,1,2,1,,1
120210,2.00,1.00,6,5,2,52,3.00,1,1,1,1,0,0,0,0,1.00,1,4,,1,1,1,1,2,2,,,,,,,,,,,,,,,,,1,,6,2,10,,2,1,1,1,1,1,1,0,0,0,6,1,1,1,1,1,1,1,1,1,
120219,1.00,3.00,3,24,2,32,2.00,1,1,1,0,1,0,0,0,2.00,2,7,,3,4,3,3,3,3,,,,,,,,,,,,,,,,,3,,6,2,5,,3,1,1,0,0,1,0,0,0,0,6,3,3,2,3,3,2,3,4,2,
120235,1.00,1.00,6,6,2,27,2.00,1,1,1,0,0,1,0,0,3.00,3,2,,3,4,4,3,3,3,0,1,0,0,,,,,,,,,,,,,3,,2,2,4,,3,1,1,0,0,1,1,0,0,0,6,1,3,3,4,3,2,3,3,2,
120237,1.00,2.00,18,43,2,40,2.00,1,1,1,0,0,0,0,1,5.00,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,3,1,12,,6,1,0,1,1,1,1,0,0,0,6,1,1,1,1,1,1,1,1,,1
120248,1.00,3.00,3,24,2,25,1.00,1,1,1,1,0,0,0,0,1.00,1,4,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,,5,1,13,,3,1,0,1,0,1,1,0,0,0,6,1,1,1,1,1,1,1,1,1,
120296,1.00,2.00,25,57,2,40,2.00,1,1,1,0,0,1,0,0,3.00,1,1,,1,2,1,1,2,1,,,,,,,,,,,,,,,,,,1,6,3,4,,3,1,0,0,1,1,1,0,0,0,6,1,1,1,1,1,1,1,1,,1
120323,1.00,1.00,10,18,2,37,2.00,1,1,1,1,0,0,0,0,1.00,1,4,,1,2,2,1,2,2,,,,,,,,,,,,,,,,,2,,5,2,13,,3,1,0,0,0,1,0,0,0,0,6,3,2,2,2,2,2,2,2,1,
120324,3.00,1.00,21,50,2,31,2.00,1,1,1,0,0,1,0,0,3.00,1,1,,1,2,1,1,2,2,,,,,,,,,,,,,,,,,,1,6,2,6,,4,1,0,1,1,1,1,1,0,0,6,1,1,1,2,1,1,2,2,,1
120328,2.00,1.00,6,5,2,31,2.00,1,1,1,0,1,0,0,0,2.00,2,4,,2,3,2,1,2,2,,,,,,,,,,,,,,,,,1,,4,4,1,,3,0,1,1,0,1,0,1,0,0,6,1,2,1,2,2,2,2,2,1,
120343,1.00,1.00,7,63,2,47,3.00,1,1,1,0,0,0,1,0,4.00,2,1,,2,3,2,2,3,2,,,,,,,,,,,,,,,,,,2,4,4,7,,2,1,1,0,1,1,0,1,0,0,6,3,2,2,2,2,2,2,2,,2
120396,1.00,1.00,6,9,2,37,2.00,1,1,1,0,0,0,1,0,4.00,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,6,2,4,,3,1,0,0,0,1,1,0,0,0,6,1,1,1,1,1,1,1,1,,1
120406,1.00,3.00,24,55,2,29,2.00,1,1,1,0,0,1,0,0,3.00,3,2,,3,4,3,3,3,3,0,1,0,0,,,,,,,,,,,,,3,,6,2,4,,3,1,0,0,1,1,0,0,0,0,6,3,3,3,4,3,3,4,2,3,
120411,1.00,2.00,5,3,2,24,1.00,1,1,1,1,0,0,0,0,1.00,1,2,,1,1,1,1,1,1,0,0,0,1,??? ???????? ????????,,,,,,,,,,,,1,,5,2,13,,4,1,0,0,1,1,0,1,0,0,6,3,1,1,1,2,1,1,2,1,
120465,1.00,1.00,7,63,2,28,2.00,1,1,3,1,0,1,0,1,3.00,2,2,,1,3,1,1,2,1,1,0,0,0,,,,,,,,,,,,,1,,6,2,13,,4,1,0,0,1,1,0,0,0,0,6,1,2,2,3,2,2,2,2,2,
120494,3.00,3.00,2,27,2,30,2.00,1,1,1,1,0,0,0,0,1.00,2,4,,2,3,3,2,3,2,,,,,,,,,,,,,,,,,2,,6,2,13,,3,1,1,1,1,1,1,1,0,0,6,1,2,2,3,3,2,3,3,2,
120510,1.00,3.00,3,26,2,40,2.00,1,1,2,0,1,0,0,1,5.00,3,1,,2,3,3,2,2,3,,,,,,,,,,,,,,,,,,2,6,2,4,,3,1,0,1,1,1,0,1,0,0,6,1,2,2,3,3,2,3,3,,1
120513,2.00,2.00,14,31,2,22,1.00,1,1,1,1,0,0,0,0,1.00,3,4,,2,3,3,2,2,2,,,,,,,,,,,,,,,,,2,,5,2,13,,3,1,0,0,1,1,1,0,0,0,6,1,3,2,3,2,1,2,2,1,
120560,2.00,4.00,16,38,2,33,2.00,1,1,2,1,0,1,0,0,3.00,3,2,,3,4,3,2,3,3,0,0,1,0,,1,1,1,1,0,0,1,1,0,0,,3,,6,2,13,,3,1,0,0,1,1,1,0,0,0,6,3,3,2,4,3,3,3,2,3,
120580,3.00,1.00,21,50,2,44,3.00,1,1,1,0,1,0,0,0,2.00,1,4,,1,3,1,1,3,1,,,,,,,,,,,,,,,,,1,,5,2,5,,4,1,0,1,1,1,1,0,0,0,6,1,1,1,2,1,1,3,1,2,
120642,1.00,3.00,12,28,2,37,2.00,1,1,2,1,0,0,1,0,1.00,1,4,,1,2,2,1,2,2,,,,,,,,,,,,,,,,,1,,6,2,4,,4,1,0,0,1,0,0,1,0,0,6,1,1,1,2,1,1,1,1,1,
120705,1.00,2.00,11,21,2,31,2.00,1,1,2,1,0,1,0,0,1.00,2,1,,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,1,4,2,10,,4,1,0,1,1,1,1,0,0,0,6,1,2,1,2,1,1,1,1,,2
120724,1.00,2.00,14,30,2,33,2.00,1,1,2,0,1,0,1,0,4.00,3,1,??? ??? ? ?????????? ??????? ??????????,2,3,3,2,3,3,,,,,,,,,,,,,,,,,,1,6,3,12,,3,1,0,0,1,1,1,1,0,0,6,3,3,2,4,3,2,3,3,,2
120730,1.00,3.00,12,28,2,29,2.00,1,1,2,0,0,1,0,0,3.00,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,4,1,1,,3,1,0,0,0,1,0,0,0,0,6,1,1,1,1,1,1,1,1,,1
120803,1.00,3.00,19,45,2,31,2.00,1,1,1,1,0,0,0,0,1.00,1,4,,1,2,2,1,2,2,,,,,,,,,,,,,,,,,1,,6,2,13,,3,1,1,0,1,1,1,1,0,0,6,3,1,1,2,2,1,2,2,1,
120811,1.00,2.00,23,53,2,31,2.00,1,1,1,0,0,0,1,0,4.00,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,6,2,1,,3,1,0,0,1,1,1,0,0,0,6,1,1,1,1,2,1,1,1,,1
120814,1.00,3.00,4,1,2,40,2.00,1,1,1,0,0,0,0,1,5.00,2,1,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,2,6,2,4,,4,1,0,1,1,1,1,0,0,0,6,3,2,2,2,2,2,2,2,,2
120849,1.00,4.00,15,34,2,41,3.00,1,1,1,0,0,0,0,1,5.00,2,1,,2,3,2,2,2,2,,,,,,,,,,,,,,,,,,2,6,3,4,,3,1,0,1,1,1,1,1,0,0,6,3,2,2,3,2,2,3,2,,2
120860,1.00,4.00,22,51,2,40,2.00,1,1,2,1,0,0,1,0,4.00,1,1,,1,3,1,1,2,1,,,,,,,,,,,,,,,,,,1,4,2,13,,3,1,0,1,1,1,1,0,0,0,6,1,1,1,2,2,1,2,2,,1
120863,3.00,3.00,2,27,2,32,2.00,1,1,2,1,1,0,0,0,1.00,1,4,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,,6,2,1,,4,1,0,0,1,1,1,0,0,0,6,1,1,1,2,1,1,2,1,1,
120884,1.00,1.00,6,6,2,38,2.00,1,1,1,0,0,1,0,0,3.00,1,1,,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,1,6,1,12,,3,1,1,0,1,1,1,0,0,0,6,3,1,1,2,1,1,1,1,,1
120892,3.00,3.00,2,27,2,37,2.00,1,1,1,0,1,0,0,0,2.00,1,4,,1,2,1,1,2,1,,,,,,,,,,,,,,,,,1,,6,2,13,,4,1,0,0,0,1,0,0,0,0,6,1,1,1,2,1,1,2,1,1,
121028,3.00,3.00,2,27,2,26,2.00,1,1,2,1,0,0,0,0,1.00,1,2,,1,2,2,1,2,2,0,0,0,1,? ????? ????????,,,,,,,,,,,,1,,6,2,4,,3,1,0,0,0,1,1,1,0,0,6,1,1,1,2,1,1,2,1,1,
121045,2.00,2.00,14,31,2,31,2.00,1,1,1,0,1,0,0,0,2.00,1,4,,1,2,1,1,2,2,,,,,,,,,,,,,,,,,1,,6,2,10,,3,1,0,0,0,1,1,0,0,0,6,3,1,1,2,2,1,2,2,1,
121095,3.00,3.00,2,27,2,33,2.00,1,1,1,0,0,0,1,0,4.00,3,1,,3,3,3,2,3,3,,,,,,,,,,,,,,,,,,2,5,3,5,,3,1,1,0,1,1,1,0,0,0,6,1,3,3,3,3,2,3,3,,3
121108,2.00,1.00,6,5,2,33,2.00,1,1,1,0,1,0,0,0,2.00,1,4,,1,2,2,1,2,2,,,,,,,,,,,,,,,,,1,,6,2,4,,4,1,0,0,0,1,1,0,0,0,6,1,1,1,2,2,1,2,2,1,
121136,1.00,2.00,25,57,2,47,3.00,1,1,1,0,0,0,0,1,5.00,1,1,,1,2,1,1,2,1,,,,,,,,,,,,,,,,,,1,6,3,4,,4,1,0,0,1,1,1,1,0,0,6,3,1,1,2,2,1,2,1,,1
121149,1.00,2.00,25,57,2,47,3.00,1,1,1,0,0,0,0,1,5.00,1,1,,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,1,6,3,4,,4,1,0,0,1,1,1,1,0,0,6,3,1,1,2,2,1,2,2,,1
121168,3.00,3.00,2,27,2,41,3.00,1,1,2,0,0,1,1,0,4.00,1,1,,1,2,1,1,2,1,,,,,,,,,,,,,,,,,,1,6,2,4,,3,1,1,0,0,1,1,0,0,0,6,3,1,1,3,2,1,2,2,,1
121214,3.00,3.00,2,27,2,27,2.00,1,1,2,1,1,0,0,0,2.00,3,4,,3,3,3,3,3,3,,,,,,,,,,,,,,,,,2,,6,2,13,,3,1,1,1,1,1,0,0,0,0,6,1,2,3,3,3,3,3,3,2,
121219,1.00,3.00,12,28,2,29,2.00,1,1,1,1,0,0,0,0,1.00,1,5,,1,2,2,1,2,2,,,,,,,,,,,,,,,,,1,,5,2,13,,3,1,0,0,1,1,1,0,0,0,6,3,1,1,2,2,1,2,2,1,
121277,1.00,4.00,15,34,2,33,2.00,1,1,1,0,0,1,0,0,3.00,3,1,,3,4,3,2,2,3,,,,,,,,,,,,,,,,,,2,5,3,12,,2,0,0,0,0,0,0,0,0,1,6,1,2,3,2,2,2,2,2,,2
121287,2.00,1.00,10,19,2,32,2.00,1,1,1,0,1,0,0,0,2.00,1,1,,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,1,6,2,2,,3,1,0,0,1,1,0,0,0,0,6,1,1,1,2,2,1,2,2,,1
121334,1.00,3.00,17,42,2,31,2.00,1,1,1,0,1,0,0,0,2.00,3,2,,3,3,2,2,3,2,0,1,1,0,,0,1,0,0,0,0,0,0,0,0,,3,,6,2,5,,2,1,0,1,1,1,1,1,0,0,6,2,3,2,4,2,2,4,2,3,
121338,3.00,3.00,2,27,2,34,2.00,1,1,1,1,0,0,0,0,1.00,1,4,,1,2,2,1,2,2,,,,,,,,,,,,,,,,,1,,6,2,4,,6,1,0,0,0,1,0,0,0,0,6,3,2,2,3,2,2,3,2,2,
121340,3.00,3.00,2,27,2,37,2.00,1,1,1,0,0,0,1,0,4.00,4,2,,3,5,3,2,5,5,1,0,0,0,,,,,,,,,,,,,4,,6,1,4,,4,1,0,1,0,1,1,1,0,0,6,3,4,2,5,5,2,5,5,3,
121445,1.00,1.00,7,66,2,44,3.00,1,1,2,0,0,1,0,1,3.00,3,1,,2,4,3,2,3,3,,,,,,,,,,,,,,,,,,3,3,3,1,,2,0,0,0,1,1,0,0,0,0,6,3,6,2,3,3,2,3,3,,6
121741,1.00,3.00,4,1,2,31,2.00,1,1,1,0,0,1,0,0,3.00,2,1,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,2,6,2,6,,3,1,0,0,0,1,0,0,0,0,6,1,2,2,2,2,2,2,2,,2
121768,2.00,1.00,6,5,2,31,2.00,1,1,2,0,1,1,0,0,3.00,2,1,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,1,5,2,1,,4,1,0,1,1,1,1,0,0,0,6,1,2,2,2,2,2,2,2,,1
121792,2.00,2.00,14,31,2,44,3.00,1,1,1,0,0,0,1,0,4.00,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,2,2,6,,3,1,0,0,0,0,1,0,0,0,6,3,1,1,1,1,1,1,1,,1
121799,1.00,3.00,19,46,2,25,1.00,1,1,1,1,0,0,0,0,1.00,2,4,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,2,,3,2,6,,3,0,1,0,0,1,0,0,0,0,6,1,2,2,2,2,2,2,2,2,
121811,1.00,3.00,17,41,2,31,2.00,1,1,1,0,1,0,0,0,2.00,1,4,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,,6,3,5,,4,1,1,0,1,1,1,0,0,0,6,3,1,1,1,1,1,1,1,1,
121881,2.00,4.00,16,38,2,30,2.00,1,1,1,1,0,0,0,0,1.00,2,4,,1,3,1,1,2,1,,,,,,,,,,,,,,,,,1,,6,2,4,,4,1,0,1,0,1,1,1,0,0,6,1,2,2,2,2,2,3,2,2,
121914,2.00,1.00,6,5,2,34,2.00,1,1,1,0,0,1,0,0,3.00,1,1,,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,1,4,1,6,,2,1,0,0,1,1,1,0,0,0,6,1,2,2,2,2,1,2,2,,1
121942,1.00,3.00,24,56,2,46,3.00,1,1,1,0,0,1,0,0,3.00,1,1,,1,3,2,1,3,2,,,,,,,,,,,,,,,,,,1,6,1,4,,3,1,0,0,1,1,0,0,0,0,6,3,1,1,2,1,1,2,2,,1
