ons_code,signature_count
S14000022,11
S14000023,8
S14000024,11
S14000025,7
S14000026,4
S14000007,19
S14000028,12
S14000029,10
S14000030,15
S14000031,7
S14000032,8
S14000033,5
S14000034,5
S14000035,8
S14000036,12
S14000037,19
S14000001,14
S14000038,12
S14000039,18
S14000040,10
S14000041,16
S14000042,12
S14000043,19
S14000044,17
S14000045,10
S14000002,12
S14000046,21
S14000047,9
S14000027,4
S14000048,19
S14000049,16
S14000008,16
S14000050,23
S14000051,13
S14000052,17
S14000053,8
S14000054,18
S14000055,14
S14000056,17
S14000057,7
S14000058,14
S14000059,15
W07000049,12
W07000058,13
E14000530,37
E14000531,25
E14000532,19
W07000043,27
E14000533,22
W07000057,11
E14000534,42
E14000535,43
E14000536,59
E14000537,36
E14000538,37
E14000539,53
E14000540,13
E14000541,23
E14000542,24
E14000543,37
E14000544,35
E14000545,36
E14000546,35
E14000547,24
E14000548,25
E14000549,23
E14000550,31
E14000551,27
E14000552,19
N06000001,16
N06000002,28
N06000003,15
N06000004,6
E14000553,23
E14000554,37
E14000555,19
E14000556,41
E14000557,55
E14000558,31
E14000559,14
E14000560,23
E14000561,16
E14000562,8
E14000563,18
E14000564,5
E14000565,29
E14000566,14
E14000567,15
E14000568,15
E14000569,36
E14000570,14
E14000571,23
E14000572,36
E14000573,27
W07000072,20
E14000574,39
E14000575,35
E14000576,58
E14000577,35
E14000578,36
E14000579,21
E14000580,32
E14000581,21
E14000582,40
E14000583,44
E14000584,36
E14000585,51
E14000586,44
E14000587,22
E14000588,30
E14000589,3
E14000590,36
W07000068,27
E14000591,13
E14000592,4
E14000593,30
E14000594,39
W07000073,17
E14000595,50
E14000596,53
E14000597,27
E14000598,19
E14000599,21
E14000600,14
E14000601,23
E14000602,24
E14000603,25
E14000604,20
E14000605,31
E14000606,37
E14000607,40
E14000608,31
E14000609,26
E14000610,31
E14000611,43
E14000612,35
E14000613,35
W07000076,24
E14000614,35
E14000615,7
E14000616,45
E14000617,15
E14000618,28
E14000619,29
W07000050,12
W07000051,18
W07000080,28
W07000079,24
E14000620,39
W07000067,36
W07000066,22
E14000621,33
E14000622,38
E14000623,46
E14000624,31
W07000064,21
E14000625,33
E14000626,35
E14000627,24
E14000628,30
E14000629,25
E14000630,26
E14000631,19
E14000632,28
E14000633,42
E14000634,30
E14000635,29
E14000636,13
E14000637,25
E14000638,55
E14000639,35
E14000640,26
E14000641,26
E14000642,55
E14000643,42
W07000062,20
W07000059,32
E14000644,32
E14000645,26
E14000646,35
E14000647,27
E14000648,42
E14000649,25
E14000650,23
E14000651,23
E14000652,26
E14000653,37
E14000654,21
E14000655,15
E14000656,29
W07000070,19
E14000657,28
E14000658,33
E14000659,32
E14000660,56
W07000042,35
E14000661,28
E14000662,18
E14000663,20
E14000664,27
E14000665,29
E14000666,38
E14000667,33
E14000668,34
E14000669,46
E14000670,57
E14000671,13
E14000672,29
E14000673,16
W07000061,26
E14000674,21
E14000675,13
E14000676,4
E14000677,36
N06000005,30
E14000678,34
E14000679,6
E14000680,26
N06000006,15
E14000681,26
E14000682,45
E14000683,50
E14000684,63
E14000685,33
E14000686,26
E14000687,10
E14000688,21
E14000689,41
E14000690,33
E14000691,13
E14000692,20
E14000693,29
E14000694,23
E14000695,37
E14000696,26
E14000697,28
E14000698,19
E14000699,50
E14000700,34
E14000701,22
