ons_code,signature_count
S14000022,34
S14000023,47
S14000024,26
S14000025,24
S14000026,12
S14000007,5
S14000028,7
S14000029,15
S14000030,5
S14000031,13
S14000032,4
S14000033,11
S14000034,4
S14000035,6
S14000036,6
S14000037,12
S14000001,8
S14000038,3
S14000039,20
S14000040,5
S14000041,11
S14000042,5
S14000043,11
S14000044,12
S14000045,13
S14000002,7
S14000046,8
S14000047,4
S14000048,4
S14000049,23
S14000008,14
S14000050,22
S14000051,7
S14000052,5
S14000053,8
S14000054,6
S14000055,19
S14000056,2
S14000057,9
S14000058,13
S14000059,8
W07000049,4
W07000058,10
E14000530,11
E14000531,9
E14000532,16
W07000043,8
E14000533,6
W07000057,24
E14000534,25
E14000535,2
E14000536,15
E14000537,7
E14000538,21
E14000539,27
E14000540,5
E14000541,7
E14000542,3
E14000543,11
E14000544,6
E14000545,17
E14000546,11
E14000547,50
E14000548,3
E14000549,29
E14000550,14
E14000551,16
E14000552,16
N06000001,5
N06000002,1
N06000003,5
N06000004,1
E14000553,45
E14000554,21
E14000555,27
E14000556,10
E14000557,20
E14000558,10
E14000559,7
E14000560,14
E14000561,5
E14000562,21
E14000564,6
E14000565,11
E14000566,2
E14000567,19
E14000568,7
E14000569,11
E14000570,6
E14000571,5
E14000572,4
E14000573,2
W07000072,4
E14000574,7
E14000575,3
E14000576,7
E14000577,6
E14000578,9
E14000579,1
E14000580,12
E14000581,13
E14000582,8
E14000583,6
E14000584,18
E14000585,15
E14000586,24
E14000587,12
E14000588,7
E14000589,3
E14000590,19
W07000068,17
E14000591,20
E14000592,5
E14000593,25
E14000594,13
W07000073,7
E14000595,26
E14000596,14
E14000597,47
E14000598,61
E14000599,21
E14000600,43
E14000601,23
E14000602,62
E14000603,19
E14000604,16
E14000605,7
E14000606,12
E14000607,16
E14000608,32
E14000609,3
E14000610,7
E14000611,11
E14000612,10
E14000613,16
W07000076,10
E14000614,20
E14000615,35
E14000616,18
E14000617,84
E14000618,5
E14000619,33
W07000050,12
W07000051,23
W07000080,26
W07000079,18
E14000620,5
W07000067,19
W07000066,15
E14000621,12
E14000622,5
E14000623,28
E14000624,9
W07000064,21
E14000625,5
E14000626,9
E14000627,24
E14000628,16
E14000629,17
E14000630,25
E14000631,23
E14000632,12
E14000633,26
E14000634,11
E14000635,28
E14000636,21
E14000637,18
E14000638,13
E14000639,32
E14000640,23
E14000641,13
E14000642,1
E14000643,6
W07000062,10
W07000059,13
E14000644,20
E14000645,11
E14000646,6
E14000647,12
E14000648,7
E14000649,2
E14000650,3
E14000651,7
E14000652,10
E14000653,20
E14000654,23
E14000655,30
E14000656,20
W07000070,5
E14000657,5
E14000658,7
E14000659,11
E14000660,16
W07000042,8
E14000661,6
E14000662,8
E14000663,8
E14000664,22
E14000665,22
E14000666,11
E14000667,6
E14000668,8
E14000669,9
E14000670,25
E14000671,5
E14000672,4
E14000673,34
W07000061,27
E14000674,49
E14000675,10
E14000676,10
E14000677,4
N06000005,6
E14000678,24
E14000679,13
E14000680,29
N06000006,1
E14000681,18
E14000682,26
E14000683,15
E14000684,35
E14000685,18
E14000686,16
E14000687,5
E14000688,13
E14000689,10
E14000690,16
E14000691,8
E14000692,19
E14000693,11
E14000694,16
E14000695,8
E14000696,9
E14000697,24
E14000698,37
E14000699,18
E14000700,15
E14000701,9
N06000007,3
E14000702,20
E14000703,32
E14000704,26
E14000705,16
N06000008,6
E14000706,12
E14000707,12
E14000708,15
E14000709,8
E14000710,15
E14000711,16
E14000712,8
E14000713,8
W07000046,15
E14000714,13
E14000715,15
E14000716,3
E14000717,6
E14000718,32
E14000719,38
E14000720,51
E14000721,28
E14000722,4
E14000723,20
E14000724,9
E14000725,6
E14000726,31
E14000727,60
E14000728,16
E14000729,11
E14000730,18
E14000731,5
E14000732,11
E14000733,2
E14000734,10
E14000735,37
E14000736,19
E14000737,5
E14000738,14
E14000739,22
E14000740,8
E14000741,5
E14000742,29
E14000743,23
E14000744,25
E14000745,11
E14000746,18
E14000747,9
E14000748,40
E14000749,23
E14000750,50
E14000751,7
E14000752,56
E14000753,31
E14000754,1
E14000755,39
E14000756,9
E14000757,22
E14000758,6
E14000759,4
E14000760,8
E14000761,22
E14000762,19
E14000763,44
E14000764,21
W07000077,5
E14000765,8
E14000766,13
E14000767,14
E14000768,31
E14000769,11
E14000770,27
E14000771,4
E14000772,9
E14000773,5
E14000774,11
E14000775,5
N06000009,5
E14000776,23
E14000777,11
E14000778,7
E14000779,24
E14000780,21
E14000781,6
E14000782,3
E14000783,12
E14000784,7
E14000785,6
E14000786,39
E14000787,20
E14000788,35
E14000789,39
E14000790,28
E14000791,10
E14000792,17
E14000793,19
E14000794,7
E14000795,16
E14000796,5
W07000045,15
E14000797,16
E14000798,4
E14000799,20
E14000800,7
E14000801,15
E14000802,22
E14000803,21
E14000804,19
E14000805,3
E14000806,11
E14000807,21
E14000808,18
E14000809,49
E14000810,9
S14000003,4
E14000811,10
E14000812,7
W07000071,8
E14000813,21
E14000814,11
E14000815,18
E14000816,13
E14000817,22
N06000010,1
E14000818,8
E14000819,2
E14000820,9
E14000821,24
E14000822,21
E14000823,16
E14000824,19
W07000054,16
W07000063,16
E14000825,8
E14000826,6
W07000069,11
E14000827,15
E14000828,13
E14000829,22
E14000830,26
E14000831,15
E14000832,15
E14000833,12
E14000834,7
W07000055,14
W07000056,11
N06000011,4
E14000835,27
E14000836,4
N06000012,3
E14000837,24
E14000838,22
E14000839,26
