Measure,Measure_type,Ethnicity,Ethnicity_type,Time,Time_Type,Region,Age,Age_Type,Sex,Value,Confidence_interval,Numerator,Denominator,Sample_size
Employed,Percentage of individuals employed,All,All,2004,year,All,16-24,16-64,All,59.7,0.4,3934400,6588000,49218
Employed,Percentage of individuals employed,All,All,2004,year,East Midlands,16-24,16-64,All,61.4,1.5,300300,489000,4054
Employed,Percentage of individuals employed,All,All,2004,year,East of England,16-24,16-64,All,65.8,1.4,371600,564300,4427
Employed,Percentage of individuals employed,All,All,2004,year,London,16-24,16-64,All,47.2,1.7,424100,898900,3155
Employed,Percentage of individuals employed,All,All,2004,year,North East,16-24,16-64,All,58.6,1.6,176600,301100,3494
Employed,Percentage of individuals employed,All,All,2004,year,North West,16-24,16-64,All,57.2,1.2,457900,800500,6100
Employed,Percentage of individuals employed,All,All,2004,year,Scotland,16-24,16-64,All,63.4,1.3,369600,583200,5055
Employed,Percentage of individuals employed,All,All,2004,year,South East,16-24,16-64,All,65.3,1.2,564300,864800,6362
Employed,Percentage of individuals employed,All,All,2004,year,South West,16-24,16-64,All,66.1,1.4,345500,522300,4615
Employed,Percentage of individuals employed,All,All,2004,year,Wales,16-24,16-64,All,58.2,1.4,197700,339500,4481
Employed,Percentage of individuals employed,All,All,2004,year,West Midlands,16-24,16-64,All,58.3,1.5,357700,613300,4029
Employed,Percentage of individuals employed,All,All,2004,year,Yorkshire and The Humber,16-24,16-64,All,60.4,1.6,369100,611000,3446
Employed,Percentage of individuals employed,All,All,2004,year,All,16-24,16-64,Men,62,0.6,2049500,3307800,24281
Employed,Percentage of individuals employed,All,All,2004,year,East Midlands,16-24,16-64,Men,63.8,2.1,157500,247000,2002
Employed,Percentage of individuals employed,All,All,2004,year,East of England,16-24,16-64,Men,68.6,1.9,193900,282800,2236
Employed,Percentage of individuals employed,All,All,2004,year,London,16-24,16-64,Men,48.7,2.5,217400,446600,1564
Employed,Percentage of individuals employed,All,All,2004,year,North East,16-24,16-64,Men,61.2,2.3,92200,150800,1719
Employed,Percentage of individuals employed,All,All,2004,year,North West,16-24,16-64,Men,59.5,1.8,238600,401100,2952
Employed,Percentage of individuals employed,All,All,2004,year,Scotland,16-24,16-64,Men,65.1,1.9,189400,291100,2506
Employed,Percentage of individuals employed,All,All,2004,year,South East,16-24,16-64,Men,66.7,1.7,290500,435800,3134
